"lambda","seed","threshold","Acc_val","F1_val","BalAcc_val","Sens_val","Spec_val","Acc_test","F1_test","BalAcc_test","Sens_test","Spec_test","is_MC_test"
0.1,64,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.1,64,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.1,64,0.45,0.714285714285714,0.827586206896552,0.497126436781609,0.827586206896552,0.166666666666667,0.685714285714286,0.813559322033898,0.428571428571429,0.857142857142857,0,TRUE
0.1,64,0.5,0.6,0.708333333333333,0.626436781609195,0.586206896551724,0.666666666666667,0.571428571428571,0.693877551020408,0.517857142857143,0.607142857142857,0.428571428571429,FALSE
0.1,64,0.55,0.371428571428571,0.421052631578947,0.554597701149425,0.275862068965517,0.833333333333333,0.285714285714286,0.358974358974359,0.339285714285714,0.25,0.428571428571429,FALSE
0.1,64,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.1,64,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.1,64,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,23,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,23,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,23,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,23,0.45,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,23,0.5,0.428571428571429,0.523809523809524,0.522988505747126,0.379310344827586,0.666666666666667,0.457142857142857,0.577777777777778,0.446428571428571,0.464285714285714,0.428571428571429,FALSE
0.3,23,0.55,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,23,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,23,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,23,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,27,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,27,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,27,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,27,0.45,0.657142857142857,0.777777777777778,0.528735632183908,0.724137931034483,0.333333333333333,0.628571428571429,0.754716981132076,0.5,0.714285714285714,0.285714285714286,FALSE
0.3,27,0.5,0.6,0.708333333333333,0.626436781609195,0.586206896551724,0.666666666666667,0.571428571428571,0.693877551020408,0.517857142857143,0.607142857142857,0.428571428571429,FALSE
0.3,27,0.55,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,27,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,27,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,27,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,98,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,98,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,98,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,98,0.45,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,98,0.5,0.542857142857143,0.666666666666667,0.525862068965517,0.551724137931034,0.5,0.571428571428571,0.693877551020408,0.517857142857143,0.607142857142857,0.428571428571429,FALSE
0.3,98,0.55,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,98,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,98,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,98,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,41,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,41,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,41,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,41,0.45,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,41,0.5,0.6,0.708333333333333,0.626436781609195,0.586206896551724,0.666666666666667,0.571428571428571,0.693877551020408,0.517857142857143,0.607142857142857,0.428571428571429,FALSE
0.3,41,0.55,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,41,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,41,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,41,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,64,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,64,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,64,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.3,64,0.45,0.714285714285714,0.827586206896552,0.497126436781609,0.827586206896552,0.166666666666667,0.685714285714286,0.813559322033898,0.428571428571429,0.857142857142857,0,TRUE
0.3,64,0.5,0.6,0.708333333333333,0.626436781609195,0.586206896551724,0.666666666666667,0.571428571428571,0.693877551020408,0.517857142857143,0.607142857142857,0.428571428571429,FALSE
0.3,64,0.55,0.257142857142857,0.235294117647059,0.485632183908046,0.137931034482759,0.833333333333333,0.228571428571429,0.181818181818182,0.410714285714286,0.107142857142857,0.714285714285714,FALSE
0.3,64,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,64,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.3,64,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,23,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,23,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,23,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,23,0.45,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,23,0.5,0.428571428571429,0.523809523809524,0.522988505747126,0.379310344827586,0.666666666666667,0.457142857142857,0.577777777777778,0.446428571428571,0.464285714285714,0.428571428571429,FALSE
0.5,23,0.55,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,23,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,23,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,23,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,27,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,27,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,27,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,27,0.45,0.8,0.88135593220339,0.614942528735632,0.896551724137931,0.333333333333333,0.742857142857143,0.852459016393443,0.464285714285714,0.928571428571429,0,TRUE
0.5,27,0.5,0.6,0.708333333333333,0.626436781609195,0.586206896551724,0.666666666666667,0.571428571428571,0.693877551020408,0.517857142857143,0.607142857142857,0.428571428571429,FALSE
0.5,27,0.55,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,27,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,27,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,27,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,98,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,98,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,98,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,98,0.45,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,98,0.5,0.542857142857143,0.666666666666667,0.525862068965517,0.551724137931034,0.5,0.571428571428571,0.693877551020408,0.517857142857143,0.607142857142857,0.428571428571429,FALSE
0.5,98,0.55,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,98,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,98,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,98,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,41,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,41,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,41,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,41,0.45,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,41,0.5,0.6,0.708333333333333,0.626436781609195,0.586206896551724,0.666666666666667,0.571428571428571,0.693877551020408,0.517857142857143,0.607142857142857,0.428571428571429,FALSE
0.5,41,0.55,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,41,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,41,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,41,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,64,0.3,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,64,0.35,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,64,0.4,0.828571428571429,0.90625,0.5,1,0,0.8,0.888888888888889,0.5,1,0,TRUE
0.5,64,0.45,0.771428571428571,0.866666666666667,0.531609195402299,0.896551724137931,0.166666666666667,0.685714285714286,0.813559322033898,0.428571428571429,0.857142857142857,0,TRUE
0.5,64,0.5,0.6,0.708333333333333,0.626436781609195,0.586206896551724,0.666666666666667,0.571428571428571,0.693877551020408,0.517857142857143,0.607142857142857,0.428571428571429,FALSE
0.5,64,0.55,0.257142857142857,0.235294117647059,0.485632183908046,0.137931034482759,0.833333333333333,0.228571428571429,0.181818181818182,0.410714285714286,0.107142857142857,0.714285714285714,FALSE
0.5,64,0.6,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,64,0.65,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
0.5,64,0.7,0.171428571428571,NA,0.5,0,1,0.2,NA,0.5,0,1,TRUE
